id,name,priceUSD,category,image,images,description,featured,originalPrice,stock,status,promo,seoTitle,seoDescription,options,attributes
perfume-rose,Floral Rose Perfume,18,Perfumery,,"perfume_rose.webp,perfume_rose_2.webp",Wild rose and premium jasmine fragrance. Long-lasting with a delicate aroma perfect for daily wear.,true,25,5,,summer-fragrances,,,,"{""Size"":""1.7 fl oz (50 ml)"",""Longevity"":""12 hours"",""Type"":""Eau de Parfum""}"
gold-butterfly-pendant-necklace,Gold Butterfly Pendant Necklace,25,Jewelry,gold-butterfly-pendant-necklace.webp,gold-butterfly-pendant-necklace.webp,Delicate necklace with a butterfly charm in 18K gold plating. Perfect to elevate any casual or formal outfit.,true,32,6,,summer-fragrances,,,,
knitted-wool-beanie,Knitted Wool Beanie,22,Clothing,https://images.unsplash.com/photo-1576871337632-b9aef4c17ab9?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1576871337632-b9aef4c17ab9?q=80&w=600&auto=format&fit=crop,Ribbed knit beanie made from super-soft merino wool. Double-layer construction for extra warmth and a snug fit.,true,,22,,,,,,
leather-messenger-bag,Leather Messenger Bag,55,Accessories,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?q=80&w=600&auto=format&fit=crop,Full-grain leather messenger bag with padded laptop compartment. Adjustable shoulder strap and multiple interior pockets.,true,,10,,leather-essentials,,,,
minimalist-leather-watch,Minimalist Leather Watch,45,Accessories,minimalist-leather-watch.webp,minimalist-leather-watch.webp,Classic watch with a white dial and rose gold indices. Genuine brown leather strap.,true,65,3,,leather-essentials,,,,
organic-jasmine-moisturizer,Organic Jasmine Moisturizer,14.5,Cosmetics,organic-jasmine-moisturizer.webp,organic-jasmine-moisturizer.webp,"Daily facial moisturizer with jasmine extract and argan oil. Suitable for all skin types, deeply nourishing, and restores radiance.",true,18.5,11,,,,,,
polarized-aviator-sunglasses,Polarized Aviator Sunglasses,38,Accessories,https://images.unsplash.com/photo-1508296695146-257a814070b4?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1508296695146-257a814070b4?q=80&w=600&auto=format&fit=crop,Classic aviator sunglasses with polarized green lenses. Gold metal frame with adjustable nose pads for a custom fit.,true,,20,,accessories-edit,,,,
yoga-mat-premium,Premium Yoga Mat,32,Sports,https://images.unsplash.com/photo-1601925260368-ae2f83cf8b7f?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1601925260368-ae2f83cf8b7f?q=80&w=600&auto=format&fit=crop,Non-slip eco-friendly yoga mat with alignment lines. 6mm thickness for optimal comfort and stability.,true,,28,,,,,,
resistance-bands-set,Resistance Bands Set,19.99,Sports,https://images.unsplash.com/photo-1598289431512-b97b0917affc?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1598289431512-b97b0917affc?q=80&w=600&auto=format&fit=crop,"Set of 5 latex resistance bands with different tension levels. Includes door anchor, handles, ankle straps, and a travel bag.",true,25.99,8,,,,,,
scented-soy-candle-trio,Scented Soy Candle Trio,34,Home,https://images.unsplash.com/photo-1603006905003-be475563bc59?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1603006905003-be475563bc59?q=80&w=600&auto=format&fit=crop,"Set of 3 hand-poured soy wax candles: Vanilla Bean, Cedar & Sage, and Lavender & Honey. 8 oz each, 40+ hour burn time.",true,,20,,,,,,
insulated-tumbler,Stainless Steel Insulated Tumbler,15,Home & Kitchen,,"insulated_tumbler_sage_green.webp,insulated_tumbler_matte_black.webp,insulated_tumbler_blush_pink.webp",Double-wall vacuum insulated tumbler designed to keep your drinks ice cold or piping hot for hours.,true,22,14,,,,,"{""Size"":[{""name"":""20 oz"",""priceUSD"":15},{""name"":""32 oz"",""priceUSD"":20},{""name"":""40 oz"",""priceUSD"":24}],""Color"":[{""name"":""Sage Green"",""image"":""insulated_tumbler_sage_green.webp""},{""name"":""Matte Black"",""image"":""insulated_tumbler_matte_black.webp""},{""name"":""Blush Pink"",""image"":""insulated_tumbler_blush_pink.webp""}]}","{""Material"":""18/8 Food-Grade Stainless Steel"",""Insulation"":""24 hours cold / 12 hours hot"",""Lid Type"":""Splash-proof slider lid""}"
running-shoes,Ultra Light Running Shoes,79,Footwear,,"running_shoes_slate_gray.webp,running_shoes_neon_orange.webp",Ultra-breathable running shoes engineered with high-rebound cushioning and lightweight mesh.,true,,25,,,,,"{""Size"":[{""name"":""US 8""},{""name"":""US 9""},{""name"":""US 10""},{""name"":""US 11""}],""Color"":[{""name"":""Slate Gray"",""image"":""running_shoes_slate_gray.webp""},{""name"":""Neon Orange"",""image"":""running_shoes_neon_orange.webp"",""priceUSD"":85}]}","{""Cushioning"":""Responsive Foam Midsole"",""Weight"":""8.2 oz (size 9)"",""Terrain"":""Road Running""}"
vitamin-c-brightening-serum,Vitamin C Brightening Serum,19.99,Cosmetics,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?q=80&w=600&auto=format&fit=crop,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?q=80&w=600&auto=format&fit=crop,Concentrated 20% vitamin C serum with hyaluronic acid and vitamin E. Brightens skin and reduces dark spots.,true,26,10,,,,,,"{""Size"":""1 fl oz (30 ml)"",""Ingredients"":""20% Vitamin C, Hyaluronic Acid, Vitamin E"",""Skin type"":""All skin types""}"
